index,is_successful
0,1
1,1
2,0
3,0
4,0
5,1
6,1
7,1
8,0
9,0
10,1
11,0
12,0
13,0
14,0
15,0
16,1
17,0
18,1
19,1
20,0
21,1
22,0
23,0
24,1
25,0
26,0
27,1
28,0
29,1
30,0
31,1
32,0
33,1
34,1
35,0
36,1
37,0
38,0
39,1
40,1
41,0
42,1
43,1
44,0
45,0
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,0
57,1
58,1
59,1
60,0
61,1
62,0
63,0
64,1
65,0
66,1
67,1
68,1
69,1
70,0
71,1
72,1
73,0
74,0
75,1
76,0
77,0
78,0
79,1
80,1
81,0
82,0
83,0
84,0
85,0
86,1
87,1
88,0
89,1
90,1
91,0
92,1
93,1
94,0
95,1
96,1
97,0
98,0
99,0
100,1
101,0
102,1
103,0
104,0
105,0
106,1
107,1
108,1
109,1
110,0
111,0
112,1
113,0
114,0
115,0
116,0
117,0
118,0
119,1
120,0
121,0
122,1
123,1
124,1
125,0
126,1
127,1
128,1
129,1
130,1
131,0
132,0
133,0
134,0
135,1
136,0
137,1
138,0
139,1
140,1
141,1
142,1
143,0
144,0
145,0
146,1
147,1
148,0
149,1
150,0
151,0
152,1
153,1
154,1
155,1
156,0
157,0
158,0
159,0
160,0
161,0
162,1
163,0
164,0
165,0
166,1
167,0
168,0
169,1
170,0
171,1
172,1
173,1
174,1
175,0
176,0
177,1
178,0
179,0
180,0
181,0
182,0
183,1
184,0
185,1
186,0
187,0
188,1
189,0
190,0
191,1
192,0
193,0
194,1
195,0
196,0
197,1
198,0
199,1
200,0
201,0
202,1
203,1
204,1
205,1
206,1
207,1
208,0
209,0
210,1
211,1
212,1
213,1
214,0
215,1
216,1
217,0
218,1
219,1
220,0
221,0
222,1
223,0
224,1
225,0
226,1
227,0
228,0
229,0
230,0
231,1
232,0
233,1
234,0
235,1
236,0
237,1
238,0
239,0
240,0
241,0
242,1
243,0
244,1
245,0
246,0
247,0
248,1
249,1
250,0
251,0
252,0
253,1
254,1
255,0
256,1
257,0
258,0
259,1
260,0
261,1
262,1
263,1
264,0
265,1
266,1
267,1
268,0
269,0
270,0
271,1
272,1
273,1
274,1
275,0
276,0
277,1
278,0
279,0
280,0
281,1
282,0
283,0
284,1
285,1
286,1
287,0
288,0
289,1
290,1
291,0
292,1
293,0
294,0
295,1
296,0
297,0
298,0
299,0
300,0
301,1
302,0
303,1
304,0
305,1
306,1
307,0
308,0
309,1
310,0
311,1
312,1
313,0
314,0
315,0
316,0
317,0
318,1
319,0
320,0
321,0
322,0
323,0
324,0
325,1
326,0
327,0
328,0
329,1
330,1
331,0
332,0
333,1
334,0
335,0
336,1
337,1
338,1
339,1
340,0
341,1
342,0
343,0
344,1
345,0
346,1
347,0
348,1
349,1
350,0
351,0
352,1
353,1
354,0
355,0
356,1
357,0
358,0
359,1
360,1
361,0
362,1
363,0
364,1
365,1
366,0
367,0
368,0
369,1
370,1
371,0
372,0
373,0
374,0
375,1
376,1
377,0
378,1
379,0
380,0
381,1
382,0
383,1
384,0
385,1
386,0
387,0
388,1
389,1
390,1
391,0
392,1
393,0
394,0
395,1
396,0
397,1
398,0
399,1
400,0
401,0
402,1
403,0
404,0
405,0
406,1
407,0
408,0
409,1
410,0
411,0
412,1
413,1
414,0
415,0
416,1
417,1
418,0
419,0
420,1
421,0
422,1
423,1
424,0
425,0
426,0
427,0
428,1
429,1
430,1
431,0
432,0
433,1
434,1
435,0
436,0
437,0
438,0
439,0
440,1
441,0
442,0
443,0
444,0
445,1
446,0
447,0
448,1
449,0
450,1
451,0
452,1
453,0
454,0
455,0
456,1
457,1
458,0
459,0
460,1
461,1
462,0
463,0
464,0
465,0
466,0
467,1
468,0
469,1
470,0
471,1
472,1
473,0
474,0
475,0
476,0
477,1
478,0
479,1
480,0
481,1
482,0
483,0
484,1
485,0
486,1
487,1
488,0
489,0
490,1
491,0
492,0
493,0
494,1
495,0
496,1
497,0
498,1
499,1
500,1
501,0
502,1
503,0
504,0
505,0
506,1
507,0
508,1
509,0
510,1
511,1
512,0
513,0
514,1
515,1
516,1
517,1
518,0
519,1
520,1
521,0
522,0
523,0
524,1
525,0
526,0
527,1
528,1
529,0
530,1
531,1
532,0
533,1
534,0
535,0
536,1
537,1
538,0
539,1
540,0
541,0
542,0
543,0
544,0
545,1
546,0
547,0
548,1
549,0
550,1
551,0
552,0
553,0
554,1
555,1
556,1
557,0
558,1
559,0
560,1
561,0
562,1
563,1
564,0
565,0
566,1
567,0
568,1
569,1
570,1
571,1
572,0
573,1
574,1
575,0
576,1
577,0
578,1
579,1
580,0
581,1
582,0
583,1
584,0
585,0
586,1
587,0
588,0
589,1
590,1
591,1
592,1
593,1
594,0
595,1
596,1
597,1
598,1
599,0
600,0
601,1
602,0
603,0
604,1
605,1
606,0
607,1
608,0
609,1
610,0
611,0
612,1
613,1
614,1
615,1
616,0
617,0
618,0
619,0
620,1
621,0
622,1
623,1
624,1
625,0
626,1
627,0
628,1
629,0
630,1
631,1
632,1
633,1
634,0
635,1
636,0
637,1
638,1
639,1
640,0
641,1
642,1
643,0
644,1
645,0
646,1
647,1
648,1
649,1
650,0
651,0
652,1
653,0
654,0
655,1
656,1
657,0
658,1
659,0
660,1
661,0
662,0
663,0
664,1
665,0
666,0
667,0
668,1
669,0
670,0
671,0
672,1
673,0
674,0
675,1
676,0
677,1
678,1
679,1
680,0
681,1
682,0
683,0
684,1
685,0
686,0
687,1
688,0
689,1
690,1
691,1
692,1
693,0
694,0
695,1
696,1
697,0
698,0
699,1
700,1
701,0
702,0
703,1
704,1
705,1
706,0
707,1
708,0
709,1
710,1
711,0
712,0
713,1
714,0
715,1
716,0
717,1
718,0
719,0
720,0
721,0
722,1
723,1
724,1
725,0
726,1
727,1
728,0
729,0
730,0
731,0
732,0
733,1
734,1
735,0
736,1
737,1
738,0
739,0
740,0
741,0
742,0
743,1
744,0
745,1
746,0
747,0
748,0
749,1
750,1
751,0
752,0
753,1
754,0
755,1
756,1
757,1
758,0
759,0
760,0
761,1
762,1
763,1
764,0
765,1
766,1
767,0
768,0
769,1
770,0
771,0
772,1
773,0
774,0
775,0
776,0
777,1
778,0
779,1
780,0
781,0
782,0
783,0
784,0
785,1
786,0
787,0
788,1
789,0
790,0
791,1
792,1
793,1
794,0
795,1
796,1
797,0
798,1
799,1
800,1
801,1
802,1
803,0
804,0
805,0
806,0
807,1
808,0
809,1
810,1
811,0
