index,category
0,0
1,3
2,6
3,12
4,0
5,7
6,8
7,7
8,0
9,2
10,8
11,5
12,5
13,5
14,6
15,5
16,6
17,1
18,0
19,6
20,7
21,8
22,8
23,3
24,6
25,0
26,6
27,9
28,0
29,8
30,11
31,8
32,0
33,5
34,0
35,5
36,8
37,12
38,7
39,0
40,0
41,0
42,7
43,8
44,8
45,4
46,0
47,9
48,11
49,4
50,5
51,0
52,1
53,0
54,7
55,5
56,0
57,8
58,1
59,6
60,7
61,7
62,11
63,3
64,8
65,1
66,9
67,5
68,5
69,8
70,0
71,1
72,0
73,3
74,8
75,7
76,3
77,3
78,0
79,0
80,0
81,6
82,11
83,0
84,10
85,0
86,0
87,0
88,0
89,0
90,6
91,0
92,7
93,6
94,0
95,8
96,4
97,0
98,3
99,0
100,10
101,1
102,9
103,3
104,7
105,8
106,3
107,11
108,8
109,10
110,11
111,11
112,7
113,0
114,5
115,0
116,10
117,3
118,8
119,7
120,0
121,10
122,6
123,3
124,2
125,0
126,10
127,0
128,0
129,0
130,1
131,2
132,0
133,6
134,12
135,7
136,1
137,0
138,9
139,0
140,7
141,10
142,8
143,8
144,9
145,4
146,6
147,4
148,0
149,8
150,0
151,0
152,0
153,12
154,0
155,9
156,4
157,2
158,12
159,3
160,8
161,6
162,5
163,0
164,8
165,10
166,0
167,3
168,8
169,8
170,4
171,9
172,8
173,12
174,0
175,0
176,12
177,3
178,1
179,11
180,6
181,5
182,10
183,0
184,0
185,1
186,9
187,8
188,6
189,11
190,4
191,0
192,0
193,0
194,9
195,0
196,11
197,0
198,1
199,0
200,8
201,0
202,7
203,8
204,8
205,8
206,12
207,12
208,12
209,7
210,9
211,0
212,0
213,4
214,1
215,0
216,1
217,0
218,0
219,0
220,1
221,3
222,3
223,0
224,3
225,0
226,0
227,7
228,11
229,7
230,0
231,7
232,11
233,0
234,6
235,11
236,0
237,0
238,0
239,0
240,4
241,9
242,0
243,3
244,11
245,6
246,6
247,11
248,0
249,6
250,4
251,11
252,6
253,0
254,0
255,4
256,8
257,2
258,0
259,10
260,11
261,2
262,0
263,7
264,0
265,0
266,3
267,0
268,0
269,10
270,7
271,3
272,6
273,7
274,5
275,10
276,6
277,8
278,3
279,2
280,2
281,0
282,0
283,6
284,8
285,11
286,10
287,1
288,8
289,0
290,6
291,4
292,11
293,3
294,0
295,11
296,8
297,0
298,0
299,0
300,3
301,3
302,4
303,0
304,9
305,7
306,11
307,0
308,0
309,8
310,8
311,8
312,0
313,9
314,1
315,0
316,0
317,5
318,3
319,1
320,8
321,8
322,2
323,9
324,0
325,8
326,11
327,8
328,3
