index,category
0,3
1,1
2,6
3,4
4,0
5,7
6,8
7,7
8,6
9,2
10,8
11,3
12,5
13,5
14,6
15,5
16,8
17,9
18,6
19,6
20,7
21,8
22,3
23,12
24,6
25,6
26,6
27,5
28,0
29,8
30,0
31,1
32,2
33,5
34,11
35,5
36,11
37,4
38,11
39,0
40,6
41,12
42,7
43,8
44,12
45,3
46,6
47,3
48,6
49,3
50,1
51,12
52,9
53,11
54,7
55,5
56,5
57,8
58,9
59,11
60,7
61,7
62,12
63,1
64,8
65,9
66,1
67,5
68,4
69,2
70,3
71,9
72,6
73,2
74,12
75,2
76,1
77,1
78,2
79,0
80,0
81,0
82,2
83,2
84,1
85,0
86,2
87,0
88,2
89,6
90,0
91,11
92,7
93,2
94,6
95,6
96,3
97,12
98,1
99,3
100,6
101,9
102,6
103,1
104,7
105,8
106,1
107,9
108,1
109,2
110,11
111,6
112,7
113,12
114,5
115,12
116,1
117,8
118,8
119,7
120,0
121,10
122,6
123,1
124,1
125,0
126,10
127,0
128,0
129,10
130,9
131,2
132,0
133,6
134,4
135,7
136,9
137,0
138,0
139,0
140,7
141,10
142,8
143,11
144,2
145,1
146,6
147,8
148,2
149,8
150,3
151,5
152,6
153,4
154,5
155,9
156,4
157,0
158,4
159,1
160,0
161,6
162,5
163,6
164,12
165,10
166,0
167,1
168,11
169,8
170,6
171,11
172,8
173,4
174,5
175,5
176,4
177,1
178,10
179,0
180,12
181,5
182,10
183,2
184,6
185,9
186,2
187,8
188,10
189,11
190,3
191,3
192,0
193,3
194,4
195,11
196,11
197,11
198,9
199,3
200,8
201,12
202,7
203,11
204,8
205,8
206,4
207,4
208,4
209,7
210,3
211,11
212,5
213,9
214,1
215,3
216,9
217,12
218,12
219,11
220,3
221,1
222,1
223,6
224,1
225,3
226,3
227,7
228,11
229,7
230,0
231,7
232,11
233,11
234,0
235,3
236,11
237,10
238,6
239,12
240,4
241,6
242,5
243,1
244,10
245,12
246,2
247,11
248,3
249,12
250,0
251,11
252,2
253,6
254,5
255,5
256,3
257,2
258,12
259,10
260,11
261,2
262,6
263,7
264,2
265,11
266,4
267,2
268,2
269,10
270,7
271,6
272,5
273,7
274,5
275,2
276,6
277,11
278,0
279,12
280,12
281,0
282,6
283,6
284,3
285,11
286,10
287,9
288,8
289,5
290,1
291,8
292,11
293,1
294,11
295,11
296,11
297,11
298,5
299,6
300,1
301,11
302,5
303,5
304,9
305,7
306,11
307,0
308,6
309,1
310,12
311,2
312,6
313,0
314,9
315,2
316,5
317,5
318,1
319,9
320,8
321,12
322,2
323,9
324,9
325,8
326,11
327,1
328,1
329,4
330,10
331,12
332,12
333,6
334,11
335,7
336,12
337,11
338,12
339,9
340,7
341,3
342,10
343,5
344,8
345,12
346,2
347,12
348,9
349,5
350,5
351,6
352,5
353,11
354,5
355,11
356,4
357,5
358,0
359,2
360,7
361,6
362,11
363,1
364,5
365,8
366,6
367,5
368,8
369,5
370,12
371,6
372,2
373,0
374,2
375,2
376,6
377,3
378,1
379,11
380,8
381,12
382,0
383,2
384,1
385,1
386,9
387,1
388,9
389,4
390,5
391,2
392,2
393,5
394,11
395,0
396,4
397,1
398,8
399,2
400,3
401,4
402,5
403,5
404,6
405,12
406,3
407,3
408,3
409,8
410,3
411,2
412,12
413,3
414,4
415,8
416,11
417,5
418,4
419,1
420,6
421,6
422,4
423,8
424,0
425,1
426,1
427,6
428,7
429,8
430,11
431,2
432,4
433,5
434,2
435,12
436,11
437,11
438,0
439,12
440,5
441,11
442,0
443,3
444,12
445,11
446,1
447,6
448,0
449,0
450,5
451,0
452,0
453,0
454,1
455,6
456,2
457,2
458,5
459,0
460,5
461,1
462,1
463,3
464,12
465,7
466,8
467,0
468,11
469,10
470,2
471,2
472,10
473,12
474,4
475,4
476,10
477,0
478,7
479,4
480,1
481,3
482,3
483,3
484,1
485,0
486,9
487,3
488,4
489,6
490,6
491,12
492,3
493,0
494,8
495,5
496,12
497,1
498,9
499,10
500,5
501,2
502,11
503,1
504,2
505,0
506,3
507,5
508,11
509,12
510,2
511,3
512,2
513,3
514,3
515,6
516,0
517,5
518,7
519,7
520,6
521,9
522,2
523,3
524,10
525,1
526,3
527,3
528,8
529,4
530,11
531,10
532,12
533,6
534,8
535,8
536,9
537,2
538,9
539,8
540,6
541,9
542,8
543,8
544,12
545,2
546,0
547,8
548,1
549,12
550,10
551,7
552,9
553,12
554,4
555,3
556,9
557,2
558,4
559,4
560,0
561,0
562,4
563,8
564,1
565,5
566,8
567,6
568,11
569,6
570,12
571,0
572,8
573,2
574,4
575,12
576,12
577,6
578,3
579,5
580,6
581,6
582,11
583,5
584,8
585,1
586,11
587,4
588,11
589,11
590,3
591,6
592,8
593,8
594,6
595,0
596,12
597,1
598,9
599,8
600,4
601,2
602,5
603,9
604,10
605,1
606,11
607,9
608,0
609,2
610,5
611,10
612,9
613,0
614,2
615,6
616,0
617,8
618,6
619,8
620,6
621,11
622,11
623,11
624,8
625,7
626,6
627,4
628,1
629,0
630,7
631,1
632,11
633,3
634,6
635,12
636,2
637,2
638,3
639,5
640,2
641,8
642,11
643,11
644,3
645,0
646,2
647,0
648,2
649,10
650,3
651,6
652,0
653,10
654,8
655,2
656,2
657,11
658,3
659,1
660,12
661,0
662,8
663,4
664,6
665,9
666,0
667,6
668,0
669,6
670,6
671,1
672,2
673,7
674,6
675,6
676,4
677,4
678,7
679,1
680,7
681,7
682,3
683,2
684,9
685,3
686,5
687,10
688,6
689,10
690,3
691,3
692,12
693,2
694,0
695,2
696,5
697,11
698,4
699,2
700,1
701,3
702,7
703,6
704,5
705,3
706,5
707,8
708,9
709,4
710,3
711,0
712,3
713,3
714,2
715,6
716,2
717,12
718,11
719,4
720,5
721,2
722,3
723,1
724,1
725,12
726,1
727,0
728,6
729,6
730,6
731,12
732,0
733,6
734,0
735,9
736,6
737,0
738,1
739,3
740,1
741,10
742,6
743,3
744,1
745,11
746,11
747,6
748,10
749,6
750,10
751,6
752,10
753,5
754,2
755,9
756,10
757,7
758,1
759,3
760,5
761,3
762,9
763,12
764,4
765,3
766,1
767,4
768,6
769,12
770,8
771,8
772,0
773,2
774,1
775,1
776,2
777,11
778,12
779,8
780,4
781,12
782,0
783,0
784,7
785,11
786,3
787,0
788,6
789,12
790,5
791,6
792,8
793,6
794,5
795,4
796,0
797,5
798,6
799,7
800,0
801,1
802,5
803,2
804,7
805,11
806,2
807,5
808,8
809,9
810,5
811,6
812,12
813,2
814,10
815,11
816,0
817,8
818,10
819,8
820,8
821,10
822,9
823,0
824,3
825,4
826,9
827,8
828,1
829,11
830,8
831,8
832,3
833,12
834,11
835,3
836,4
837,1
838,5
839,11
840,12
841,3
842,7
843,8
844,6
845,12
846,4
847,10
848,4
849,12
850,8
851,7
852,11
853,6
854,8
855,7
856,6
857,1
858,0
859,5
860,12
861,3
862,4
863,11
864,2
865,1
866,1
867,3
868,6
869,5
870,6
871,0
872,8
873,6
874,12
875,6
876,1
877,9
878,1
879,12
880,0
881,0
882,8
883,1
884,8
885,1
886,4
887,0
888,10
889,3
890,10
891,2
892,12
893,0
894,12
895,10
896,11
897,8
898,1
899,7
900,11
901,4
902,10
903,1
904,2
905,6
906,9
907,8
908,8
909,0
910,4
911,6
912,12
913,0
914,0
915,12
916,6
917,0
918,2
919,4
920,11
921,1
922,3
923,3
924,11
925,5
926,10
927,2
928,5
929,10
930,1
931,5
932,5
933,10
934,0
935,1
936,0
937,7
938,0
939,6
940,9
941,5
942,6
943,8
944,0
945,3
946,12
947,5
948,1
949,12
950,2
951,4
952,1
953,0
954,1
955,7
956,5
957,6
958,0
959,6
960,11
961,10
962,6
963,6
964,0
965,1
966,12
967,0
968,9
969,2
970,11
971,1
972,11
973,1
974,8
975,5
976,5
977,8
978,9
979,11
980,0
981,3
982,6
983,0
984,6
985,7
986,11
987,12
988,9
989,3
990,6
991,1
992,11
993,0
994,3
995,10
996,6
997,9
998,10
999,11
1000,5
1001,10
1002,3
1003,7
1004,8
1005,9
1006,11
1007,7
1008,6
1009,1
1010,7
1011,5
1012,2
1013,3
1014,2
1015,6
1016,12
1017,6
1018,9
1019,4
1020,8
1021,1
1022,5
1023,7
1024,9
1025,11
1026,3
1027,2
1028,0
1029,1
1030,5
1031,6
1032,1
1033,1
1034,11
1035,6
1036,6
1037,8
1038,12
1039,8
1040,8
1041,11
1042,2
1043,3
1044,8
1045,10
1046,2
1047,2
1048,5
1049,10
1050,0
1051,10
1052,6
1053,11
1054,3
1055,2
1056,5
1057,1
1058,2
1059,6
1060,11
1061,5
1062,2
1063,7
1064,0
1065,0
1066,1
1067,2
1068,11
1069,10
1070,3
1071,0
1072,1
1073,5
1074,0
1075,4
1076,1
1077,5
1078,11
1079,8
1080,5
1081,2
1082,12
1083,12
1084,6
1085,0
1086,12
1087,12
1088,9
1089,1
