index,category
0,0
1,6
2,10
3,7
4,3
5,7
6,0
7,7
8,11
9,2
10,8
11,5
12,5
13,6
14,12
15,5
16,8
17,1
18,2
19,6
20,7
21,0
22,7
23,10
24,3
25,6
26,11
27,2
28,4
29,8
30,6
31,8
32,6
33,5
34,3
35,5
36,8
37,8
38,7
39,10
40,4
41,4
42,7
43,8
44,8
45,4
46,0
47,4
48,7
49,6
50,3
51,12
52,1
53,11
54,7
55,5
56,1
57,1
58,1
59,8
60,7
61,7
62,10
63,10
64,8
65,1
66,1
67,12
68,5
69,2
70,3
71,1
72,0
73,6
74,8
75,9
76,6
77,10
78,0
79,7
80,0
81,3
82,11
83,6
84,10
85,3
86,4
87,6
88,12
89,10
90,6
91,2
92,7
93,11
94,11
95,8
96,6
97,12
98,7
99,3
100,10
101,1
102,0
103,11
104,7
105,8
106,3
107,6
108,8
109,10
110,11
111,4
112,7
113,12
114,5
115,12
116,10
117,8
118,8
119,7
120,11
121,11
122,6
123,3
124,9
125,10
126,4
127,7
128,0
129,0
130,1
131,6
132,0
133,6
134,0
135,7
136,1
137,0
138,3
139,0
140,7
141,11
142,8
143,6
144,9
145,4
146,6
147,8
148,1
149,8
150,3
151,10
152,7
153,3
154,7
155,9
156,4
157,8
158,8
159,3
160,6
161,7
162,5
163,8
164,8
165,10
166,3
167,11
168,8
169,8
170,4
171,11
172,8
173,8
174,11
175,6
176,10
177,10
178,1
179,8
180,10
181,1
182,10
183,11
184,0
185,1
186,6
187,8
188,6
189,0
190,4
191,3
192,4
193,6
194,9
195,11
196,11
197,6
198,9
199,12
200,8
201,4
202,7
203,4
204,10
205,2
206,7
207,5
208,4
209,7
210,3
211,11
212,0
213,4
214,1
215,0
216,1
217,6
218,0
219,0
220,6
221,3
222,6
223,7
224,10
225,3
226,3
227,7
228,11
229,7
230,8
231,7
232,11
233,7
234,6
235,3
236,4
237,1
238,4
239,0
240,4
241,9
242,5
243,10
244,11
245,12
246,6
247,10
248,3
249,0
250,4
251,7
252,6
253,0
254,0
255,4
256,8
257,2
258,4
259,10
260,8
261,11
262,6
263,7
264,10
265,10
266,0
267,0
268,6
269,7
270,7
271,3
272,4
273,7
274,5
275,0
276,6
277,8
278,0
279,2
280,12
281,0
282,0
283,6
284,4
285,11
286,10
287,1
288,8
289,8
290,6
291,4
292,12
293,11
294,7
295,10
296,5
297,10
298,12
299,11
300,11
301,1
302,4
303,10
304,9
305,7
306,4
307,0
308,0
309,11
310,6
311,8
312,0
313,7
314,1
315,7
316,6
317,5
318,10
319,1
320,8
321,12
322,2
323,4
324,0
325,8
326,6
327,8
328,10
329,11
330,0
331,4
332,8
333,0
334,11
335,7
336,8
337,5
338,2
339,1
340,7
341,3
342,10
343,1
344,8
345,8
346,7
347,7
348,1
349,0
350,5
351,4
352,5
353,11
354,7
355,7
356,1
357,3
358,7
359,4
360,7
361,0
362,10
363,3
364,5
365,8
366,7
367,0
368,8
369,5
370,11
371,3
372,10
373,3
374,2
375,7
376,2
377,3
378,11
379,7
380,8
381,10
382,7
383,3
384,10
385,0
386,9
387,1
388,1
389,0
390,0
391,7
392,1
393,6
394,11
395,7
396,2
397,11
398,4
399,4
400,3
401,5
402,5
403,5
404,4
405,12
406,3
407,4
408,11
409,8
410,3
411,0
412,12
413,6
414,12
415,8
416,1
417,7
418,2
419,6
420,6
421,0
422,12
423,6
424,6
425,10
426,6
427,6
428,7
429,8
430,11
431,10
432,8
433,0
434,11
435,12
436,6
437,4
438,7
439,12
440,6
441,8
442,11
443,3
444,8
445,7
446,1
447,6
448,1
449,1
450,0
451,11
452,0
453,6
454,11
455,11
456,6
457,8
458,11
459,7
460,10
461,10
462,11
463,11
464,7
465,7
466,10
467,0
