index,category
0,6
1,11
2,6
3,2
4,0
5,7
6,2
7,7
8,0
9,2
10,8
11,5
12,5
13,5
14,6
15,5
16,8
17,1
18,0
19,12
20,7
21,8
22,8
23,0
24,6
25,6
26,6
27,9
28,0
29,8
30,0
31,8
32,0
33,5
34,6
35,5
36,6
37,8
38,7
39,3
40,0
41,4
42,3
43,6
44,8
45,4
46,0
47,9
48,11
49,4
50,3
51,12
52,9
53,0
54,7
55,5
56,6
57,3
58,1
59,6
60,7
61,7
62,11
63,3
64,8
65,1
66,3
67,12
68,2
69,8
70,6
71,0
72,0
73,3
74,8
75,7
76,0
77,3
78,6
79,12
80,0
81,4
82,11
83,0
84,12
85,0
86,12
87,6
88,6
89,7
90,4
91,2
92,7
93,2
94,2
95,8
96,4
97,12
98,3
99,0
100,0
101,1
102,6
103,3
104,7
105,8
106,3
107,0
108,3
109,10
110,11
111,10
112,8
113,6
114,5
115,12
116,3
117,2
118,8
119,7
120,6
121,1
122,6
123,3
124,3
125,6
126,10
127,1
128,0
129,6
130,1
131,2
132,0
133,0
134,10
135,7
136,1
137,2
138,0
139,0
140,7
141,0
142,8
143,3
144,9
145,4
146,6
147,2
148,1
149,8
150,0
151,12
152,10
153,6
154,6
155,9
156,4
157,2
158,2
159,3
160,8
161,1
162,5
163,7
164,8
165,7
166,12
167,3
168,8
169,8
170,4
171,11
172,8
173,8
174,4
175,0
176,2
177,3
178,1
179,11
180,10
181,5
182,12
183,10
184,0
185,1
186,6
187,8
188,6
189,0
190,4
191,12
192,12
193,12
194,9
195,2
196,8
197,6
198,1
199,12
200,8
201,6
202,3
203,8
204,8
205,8
206,2
207,2
208,2
209,7
210,0
211,4
212,6
213,4
214,1
215,12
216,1
217,6
218,0
219,9
220,6
221,3
222,3
223,6
224,3
225,12
226,6
227,7
228,11
229,7
230,7
231,7
232,11
233,5
234,6
235,6
236,7
237,1
238,2
239,0
240,2
241,9
242,0
243,3
244,11
245,10
246,6
247,10
248,7
249,0
250,4
251,11
252,0
253,6
254,0
255,4
256,8
257,4
258,10
259,7
260,3
261,3
262,6
263,7
264,10
265,10
266,3
267,0
268,0
269,0
270,7
271,3
272,6
273,7
274,5
275,12
276,6
277,8
278,7
279,2
280,2
281,0
282,0
283,6
284,7
285,6
286,7
287,1
288,8
289,11
290,3
291,8
292,12
293,3
294,0
295,11
296,8
297,3
298,6
299,9
300,3
301,3
302,4
303,0
304,9
305,7
306,11
307,0
308,6
309,3
310,2
311,8
312,2
313,6
314,1
315,7
316,5
317,5
318,3
319,1
320,8
321,8
322,2
323,9
324,0
325,8
326,11
327,3
328,3
329,2
330,12
331,4
332,8
333,10
334,11
335,11
336,8
337,5
338,2
339,0
340,7
341,1
342,5
343,5
344,8
345,8
346,8
347,6
348,1
349,7
350,6
351,4
352,2
353,3
354,11
355,3
356,1
357,5
358,3
359,1
360,7
361,0
362,11
363,3
364,5
365,8
366,7
367,5
368,3
369,5
370,12
371,2
372,6
373,3
374,5
375,9
376,6
377,4
378,3
379,7
380,2
381,6
382,7
383,6
384,0
385,6
386,0
387,1
388,1
389,0
390,0
391,8
392,11
393,6
394,11
395,3
396,2
397,3
398,4
399,3
400,6
401,2
402,5
403,5
404,4
405,12
406,6
407,6
408,11
409,8
410,4
411,6
412,8
413,6
414,2
415,0
416,3
417,7
418,2
419,6
420,6
421,10
422,2
423,6
424,4
425,3
426,3
427,6
428,7
429,8
430,5
431,10
432,2
433,6
434,3
435,12
436,10
437,6
438,7
439,12
440,2
441,11
442,10
443,6
444,8
445,9
446,5
447,6
448,7
449,6
450,12
451,0
452,0
453,6
454,3
455,11
456,6
457,8
458,5
459,11
460,5
461,3
462,11
463,10
464,2
465,7
466,3
467,2
468,0
469,6
470,9
471,2
472,1
473,0
474,2
475,2
476,0
477,12
478,7
479,4
480,2
481,1
482,3
483,6
484,3
485,6
486,5
487,12
488,2
489,12
490,2
491,12
492,6
493,0
494,8
495,12
496,10
497,3
498,1
499,9
500,10
501,4
502,6
503,3
504,3
505,0
506,11
507,5
508,10
509,12
510,5
511,11
512,0
513,7
514,7
515,4
516,9
517,4
518,7
519,7
520,6
521,0
522,2
523,6
524,12
525,3
526,7
527,4
528,8
529,2
530,7
531,10
532,12
533,11
534,8
535,8
536,1
537,4
538,0
539,8
540,10
541,3
542,3
543,8
544,10
545,6
546,0
547,8
548,3
549,10
550,12
551,7
552,7
553,10
554,10
555,4
556,1
557,0
558,2
559,2
560,6
561,0
562,6
563,8
564,3
565,0
566,3
567,7
568,2
569,8
570,8
571,12
572,8
573,6
574,2
575,9
576,9
577,0
578,3
579,6
580,6
581,0
582,11
583,6
584,8
585,0
586,6
587,2
588,0
589,6
590,3
591,0
592,5
593,8
594,12
595,3
596,3
597,3
598,9
599,8
600,2
601,12
602,5
603,1
604,7
605,3
606,11
607,1
608,6
609,0
610,6
611,2
612,1
613,8
614,3
615,6
616,6
617,2
618,9
619,8
620,2
621,6
622,3
623,3
624,9
625,7
626,12
627,2
628,3
629,4
630,7
631,5
632,11
633,0
634,9
635,12
636,12
637,6
638,4
639,2
640,4
641,8
642,0
643,11
644,12
645,4
646,12
647,0
648,2
649,10
650,10
651,7
652,9
653,6
654,8
655,0
656,9
657,10
658,7
659,3
660,9
661,7
662,8
663,1
664,9
665,1
666,0
667,0
668,0
669,9
670,9
671,3
672,6
673,7
674,12
675,1
676,2
677,2
678,7
679,3
680,7
681,7
682,6
683,6
684,9
685,6
686,12
687,5
688,3
689,10
690,3
691,0
692,7
693,3
694,8
695,0
696,6
697,7
698,1
699,5
700,8
701,4
702,3
703,12
704,6
705,3
706,10
707,8
708,9
709,2
710,2
711,6
712,11
713,6
714,2
715,0
716,7
717,12
718,11
719,10
720,3
721,0
722,1
723,0
724,3
725,0
726,7
727,11
728,0
729,6
730,6
731,4
732,10
733,6
734,6
735,12
736,5
737,0
738,3
739,0
740,3
741,1
742,1
743,0
744,3
745,2
746,11
747,6
748,6
749,0
750,7
751,1
752,10
753,6
754,0
755,0
756,0
757,7
758,3
759,12
760,12
761,3
762,8
763,10
764,10
765,0
766,3
767,2
768,0
769,12
770,8
771,8
772,12
773,9
774,3
775,11
776,5
777,0
778,6
779,10
780,2
781,12
782,7
783,0
784,7
785,11
786,0
787,6
788,1
789,0
790,10
791,9
792,8
793,6
794,10
795,2
796,7
797,12
798,0
799,12
800,0
801,6
802,2
803,0
804,7
805,0
806,0
807,5
808,8
809,1
810,5
811,6
812,2
813,12
814,0
815,10
816,12
817,8
818,7
819,8
820,8
821,7
822,1
823,0
824,7
825,2
826,1
827,8
828,3
829,10
830,8
831,6
832,6
833,12
834,8
835,4
836,2
837,3
838,5
839,11
840,6
841,3
842,7
843,2
844,0
845,2
846,2
847,10
848,2
849,6
850,8
851,11
852,6
853,6
854,8
855,7
856,10
857,3
858,8
859,12
860,10
861,3
862,11
863,11
864,3
865,8
866,3
867,6
868,0
869,8
870,4
871,0
872,8
873,2
874,11
875,10
876,3
877,1
878,1
879,6
880,10
881,0
882,8
883,9
884,8
