index,category
0,12
1,0
2,6
3,6
4,0
5,7
6,8
7,7
8,6
9,2
10,8
11,5
12,5
13,5
14,3
15,5
16,8
17,1
18,3
19,6
20,7
21,0
22,6
23,0
24,6
25,6
26,5
27,2
28,0
29,8
30,0
31,6
32,12
33,5
34,6
35,6
36,0
37,8
38,7
39,6
40,0
41,4
42,7
43,8
44,3
45,4
46,0
47,3
48,6
49,4
50,3
51,6
52,1
53,3
54,7
55,5
56,3
57,8
58,1
59,6
60,7
61,7
62,3
63,0
64,8
65,1
66,3
67,12
68,6
69,2
70,3
71,1
72,0
73,2
74,6
75,7
76,0
77,8
78,6
79,12
80,0
81,1
82,6
83,6
84,10
85,6
86,6
87,0
88,6
89,6
90,6
91,6
92,12
93,2
94,6
95,6
96,6
97,12
98,3
99,6
100,10
101,1
102,6
103,3
104,7
105,8
106,3
107,3
108,8
109,10
110,11
111,6
112,7
113,6
114,5
115,12
116,10
117,8
118,8
119,7
120,6
121,10
122,3
123,0
124,2
125,6
126,10
127,6
128,0
129,6
130,1
131,2
132,0
133,6
134,6
135,7
136,1
137,0
138,9
139,9
140,7
141,10
142,0
143,8
144,6
145,4
146,6
147,8
148,6
149,8
150,6
151,6
152,9
153,3
154,6
155,1
156,4
157,2
158,2
159,8
160,6
161,6
162,3
163,6
164,8
165,10
166,8
167,3
168,6
169,8
170,4
171,6
172,8
173,10
174,5
175,6
176,5
177,0
178,1
179,6
180,6
181,5
182,10
183,6
184,0
185,1
186,6
187,8
188,10
189,6
190,3
191,6
192,3
193,6
194,12
195,6
196,6
197,3
198,9
199,12
200,8
201,8
202,7
203,6
204,2
205,2
206,6
207,3
208,6
209,7
210,9
211,4
212,8
213,4
214,1
215,9
216,1
217,3
218,6
219,9
220,1
221,3
222,3
223,6
224,6
225,3
226,3
227,7
228,3
229,7
230,3
231,7
232,3
233,9
234,6
235,3
236,6
237,6
238,6
239,0
240,6
241,9
242,8
243,3
244,10
245,6
246,6
247,6
248,3
249,6
250,3
251,6
252,6
253,8
254,6
255,4
256,6
257,2
258,9
259,10
260,3
261,2
262,6
263,7
264,6
265,6
266,0
267,6
268,6
269,10
270,7
271,0
272,6
273,7
274,5
275,10
276,6
277,6
278,6
279,2
280,2
281,0
282,6
283,6
284,3
285,6
286,10
287,1
288,6
289,8
290,6
291,8
292,12
293,3
294,6
295,6
296,5
297,6
298,12
299,9
300,12
301,6
302,4
303,8
304,5
305,7
306,11
307,0
308,8
309,3
310,8
311,6
312,3
313,6
314,1
315,2
316,6
317,5
318,3
319,1
320,3
321,12
322,2
323,1
324,0
325,8
326,6
327,9
328,0
329,3
330,10
331,8
332,6
333,6
334,11
335,7
336,8
337,5
338,2
339,1
340,7
341,1
342,10
343,3
344,8
345,6
346,2
347,5
348,5
349,0
350,5
351,9
352,6
353,6
354,8
355,6
356,1
357,5
358,3
359,1
360,7
361,6
362,11
363,3
364,8
365,6
366,6
367,5
368,3
369,5
370,6
371,6
372,6
373,6
374,3
375,6
376,6
377,3
378,3
379,7
380,8
381,6
382,7
383,6
384,0
385,8
386,1
387,1
388,1
389,0
390,8
391,8
392,6
393,8
394,11
395,6
396,2
397,4
398,4
399,6
400,6
401,6
402,9
403,5
404,3
405,3
406,3
407,6
408,3
409,4
410,3
411,6
412,3
413,11
414,10
415,6
416,6
417,8
418,6
419,6
420,6
421,0
422,12
423,6
424,4
425,0
426,6
427,6
428,7
429,8
430,6
431,2
432,8
433,6
434,3
435,9
436,10
437,6
438,6
439,12
440,3
441,6
442,6
443,3
444,8
445,10
446,6
447,6
448,3
449,6
450,6
451,2
452,6
453,3
454,11
455,11
456,6
457,8
458,5
459,3
460,6
461,6
462,11
463,3
464,3
465,7
466,8
467,6
468,6
469,10
470,9
471,3
472,1
473,12
474,6
475,3
476,6
477,9
478,11
479,12
480,6
481,6
482,3
483,6
484,1
485,6
486,1
487,3
488,3
489,12
490,2
491,12
492,6
493,0
494,6
495,5
496,6
497,3
498,1
499,9
500,8
501,4
502,6
503,6
504,3
505,0
506,12
507,5
508,11
509,6
510,6
511,6
512,6
513,3
514,6
515,2
516,6
517,3
518,7
519,7
520,3
521,0
522,2
523,6
524,10
525,3
526,7
527,4
528,8
529,6
530,6
531,10
532,6
533,6
534,8
535,8
536,1
537,4
538,1
539,7
540,0
541,1
542,3
543,2
544,6
545,3
546,6
547,1
548,6
549,4
550,10
551,7
552,1
553,6
554,6
555,3
556,1
557,6
558,6
559,6
560,6
561,6
562,6
563,2
564,3
565,6
566,2
567,3
568,6
569,2
570,10
571,6
572,4
573,6
574,12
575,3
576,6
577,6
578,3
579,6
580,6
581,0
582,11
583,6
584,6
585,0
586,11
587,6
588,6
589,6
590,0
591,0
592,5
593,8
594,6
595,5
596,3
597,3
598,1
599,8
600,2
601,6
602,5
603,1
604,10
605,3
606,11
607,1
608,6
609,6
610,8
611,10
612,1
613,6
614,2
615,6
616,3
617,8
618,2
619,12
620,2
621,6
622,6
623,6
624,8
625,7
626,10
627,6
628,3
629,5
630,7
631,5
632,0
633,0
634,0
635,6
636,2
637,6
638,3
639,6
640,6
641,6
642,6
643,11
644,3
645,6
646,5
647,11
648,3
649,10
650,10
651,6
652,6
653,0
654,5
655,6
656,6
657,5
658,3
659,3
660,12
661,10
662,8
663,1
664,6
665,1
666,3
667,6
668,3
669,3
670,9
671,3
672,6
673,7
674,12
675,6
676,12
677,6
678,7
679,3
680,7
681,7
682,3
683,3
684,1
685,3
686,6
687,10
688,3
689,9
690,3
691,6
692,7
693,3
694,6
695,0
696,6
697,6
698,3
699,10
700,8
701,3
702,7
703,3
704,6
705,12
706,5
707,8
708,1
709,5
710,12
711,6
712,3
713,6
714,2
715,0
716,2
717,1
718,6
719,6
720,3
721,3
722,10
723,1
724,3
725,6
726,7
727,6
728,6
729,6
730,6
731,4
732,0
733,6
734,5
735,1
736,6
737,6
738,3
739,6
740,6
741,10
742,3
743,3
744,10
745,5
746,11
747,6
748,10
749,6
750,10
751,6
752,10
753,6
754,3
755,1
756,10
757,7
758,3
759,3
760,6
761,3
762,1
763,6
764,6
765,3
766,10
767,6
768,0
769,6
770,10
771,6
772,6
773,6
774,6
775,2
