index,category
0,6
1,6
2,6
3,6
4,3
5,7
6,8
7,7
8,6
9,6
10,8
11,2
12,2
13,6
14,10
15,2
16,8
17,1
18,10
19,6
20,7
21,6
22,6
23,0
24,6
25,6
26,10
27,9
28,11
29,10
30,6
31,10
32,12
33,5
34,6
35,5
36,6
37,8
38,7
39,6
40,0
41,6
42,7
43,8
44,10
45,4
46,0
47,6
48,6
49,6
50,5
51,10
52,1
53,6
54,7
55,2
56,6
57,6
58,1
59,6
60,7
61,7
62,10
63,0
64,8
65,1
66,6
67,5
68,5
69,6
70,3
71,1
72,3
73,9
74,10
75,7
76,11
77,9
78,5
79,12
80,0
81,3
82,6
83,0
84,6
85,6
86,6
87,0
88,5
89,6
90,6
91,6
92,12
93,9
94,6
95,10
96,6
97,6
98,0
99,6
100,0
101,1
102,9
103,6
104,7
105,4
106,6
107,6
108,8
109,4
110,11
111,6
112,7
113,10
114,5
115,12
116,6
117,8
118,8
119,7
120,6
121,6
122,6
123,0
124,0
125,6
126,6
127,11
128,0
129,6
130,1
131,5
132,10
133,6
134,9
135,7
136,1
137,6
138,6
139,11
140,4
141,3
142,8
143,8
144,9
145,3
146,6
147,4
148,6
149,8
150,6
151,5
152,6
153,6
154,6
155,1
156,6
157,6
158,9
159,8
160,6
161,6
162,6
163,6
164,8
165,6
166,8
167,6
168,6
169,8
170,4
171,6
172,8
173,8
174,6
175,5
176,6
177,6
178,3
179,6
180,9
181,10
182,10
183,6
184,0
185,1
186,6
187,8
188,6
189,6
190,3
191,6
192,3
193,6
194,6
195,6
196,6
197,11
198,1
199,12
200,8
201,6
202,7
203,10
204,9
205,6
206,9
207,6
208,5
209,3
210,6
211,6
212,8
213,6
214,1
215,6
216,1
217,5
218,10
219,6
220,1
221,6
222,6
223,6
224,6
225,3
226,3
227,7
228,6
229,7
230,0
231,7
232,6
233,6
234,6
235,3
236,6
237,6
238,6
239,0
240,4
241,9
242,8
243,5
244,6
245,4
246,6
247,6
248,6
249,6
250,6
251,6
252,6
253,8
254,5
255,3
256,5
257,2
258,4
259,6
260,5
261,11
262,5
263,7
264,6
265,6
266,6
267,6
268,6
269,6
270,7
271,0
272,6
273,7
274,5
275,6
276,6
277,6
278,0
279,10
280,6
281,11
282,6
283,11
284,3
285,6
286,0
287,1
288,6
289,8
290,6
291,4
292,12
293,6
294,6
295,6
296,10
297,6
298,12
299,6
300,11
301,11
302,5
303,8
304,6
305,7
306,12
307,0
308,8
309,6
310,8
311,6
312,6
313,6
314,1
315,9
316,10
317,6
318,6
319,1
320,9
321,10
322,6
323,1
324,11
325,10
326,6
327,10
328,6
329,6
330,6
331,6
332,10
333,6
334,11
335,7
336,10
337,6
338,10
339,1
340,7
341,1
342,6
343,2
344,6
345,10
346,6
347,6
348,1
349,8
350,2
351,10
352,5
353,6
354,8
355,6
356,1
357,5
358,6
359,1
360,7
361,6
362,11
363,6
364,8
365,0
366,0
367,6
368,11
369,2
370,10
371,6
372,6
373,6
374,6
375,6
376,6
377,3
378,6
379,7
380,8
381,10
382,7
383,6
384,11
385,8
386,1
387,1
388,1
389,0
390,8
391,8
392,6
393,8
394,6
395,6
396,9
397,6
398,6
399,6
400,3
401,6
402,8
403,2
404,6
405,10
406,3
407,6
408,6
409,6
410,3
411,5
412,10
413,6
414,10
415,6
416,6
417,8
418,6
419,2
420,6
421,4
422,12
423,0
424,6
425,4
426,6
427,3
428,7
429,6
430,6
431,9
432,8
433,6
434,6
435,9
436,10
437,6
438,0
439,10
440,5
441,11
442,6
443,5
444,8
445,11
446,5
447,6
448,0
449,6
450,5
451,0
452,8
453,6
454,3
455,6
456,6
457,6
458,2
459,6
460,2
461,10
462,11
463,6
464,6
465,7
466,8
467,11
468,6
469,6
470,2
471,6
472,1
473,10
474,6
475,6
476,6
477,6
478,7
479,10
480,6
481,6
482,3
483,6
484,1
485,11
486,1
487,3
488,6
489,12
490,6
491,4
492,6
493,0
494,10
495,2
496,10
497,6
498,3
499,6
500,8
501,4
502,6
503,6
504,6
505,0
506,5
507,2
508,11
509,4
510,6
511,6
512,6
513,3
514,3
515,6
516,6
517,6
518,7
519,7
520,8
521,1
522,4
523,6
524,9
525,6
526,7
527,4
528,8
529,6
530,6
531,10
532,10
533,6
534,10
535,10
536,1
537,9
538,1
539,7
540,6
541,1
542,6
543,9
544,0
545,6
546,6
547,4
548,6
549,9
550,6
551,7
552,1
553,0
554,4
555,3
556,1
557,6
558,5
559,10
560,6
561,5
562,6
563,9
564,6
565,5
566,9
567,6
568,6
569,4
570,10
571,6
572,0
573,6
574,12
575,6
576,6
577,2
578,6
579,6
580,6
581,10
582,11
583,5
584,6
585,0
586,11
587,6
588,6
589,6
590,6
591,0
592,8
593,6
594,6
595,11
596,11
597,6
598,1
599,10
600,10
601,6
602,2
603,1
604,0
605,6
606,11
607,1
608,11
609,6
610,4
611,11
612,1
613,10
614,9
615,6
616,10
617,8
618,6
619,12
620,6
621,6
622,11
623,11
624,11
625,7
626,4
627,6
628,6
629,6
630,7
631,2
632,11
633,0
634,0
635,10
636,4
637,6
638,6
639,6
640,6
641,6
642,11
643,11
644,6
645,6
646,10
647,6
648,6
649,10
650,0
651,6
652,6
653,6
654,2
655,6
656,9
657,6
658,6
659,10
660,12
661,0
662,8
663,5
664,6
665,1
666,6
667,6
668,11
669,10
670,9
671,6
672,6
673,7
674,12
675,10
676,10
677,6
678,7
679,6
680,7
681,9
